Index,Country,Scope,Jurisdiction,Type of Law,Product Type,Application,Ordinance,Hyperlink to Ordinance
276,United Kingdom,National,Northern Ireland,Ban,Bag,Retail,link,https://www.legislation.gov.uk/nidsr/2012/9780337989537
277,United Kingdom,National,Northern Ireland,Ban,Microbead,"Retail, Manufacture",link,https://members.wto.org/crnattachments/2018/TBT/GBR/18_2440_00_e.pdf
278,United Kingdom,National,Scotland,Ban,Microbead,"Retail, Manufacture",link,https://www.legislation.gov.uk/ssi/2018/162/pdfs/ssi_20180162_en.pdf
279,United Kingdom,National,Scotland,Fee,Bag,Retail,link,https://www.legislation.gov.uk/sdsi/2014/9780111023211
280,United Kingdom,National,Wales,Ban,Microbead,"Retail, Manufacture",link,https://www.legislation.gov.uk/wsi/2018/760/pdfs/wsi_20180760_mi.pdf
281,United Kingdom,National,Wales,Fee,Bag,Retail,link,https://gov.wales/topics/environmentcountryside/epq/waste_recycling/substance/carrierbags/?lang=en
282,United States,County,Alameda County,Ban,All Polystyrene,Restaurant,link,https://www.acgov.org/aceh/documents/4-24-15-FinalOrdResPolystyreneBan.pdf
283,United States,County,Alameda County (unincorp areas + 14 cities),Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/55d6315be4b041c74fd09091/1440100699519/AC+Final+Ordinance.pdf
284,United States,County,Albany County,Ban,EPS,Restaurant,link,http://www.albanycounty.com/Libraries/Department_of_Health/Styrofoam_Rules_and_Regulations_Final_3.sflb.ashx
285,United States,County,Beaufort County,Ban,Bag,Retail,link,http://www.baglaws.com/assets/pdf/southcarolina_beaufortcounty.pdf
286,United States,County,Hawai'i County,Ban+Fee,Bag,Retail,-,http://records.co.hawaii.hi.us/weblink/DocView.aspx?dbid=0&id=765078&page=1&cr=1
287,United States,County,Honolulu County,Ban+Fee,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
288,United States,County,Kauai County,Ban,Bag,Retail,link,http://www.baglaws.com/assets/pdf/hawaii_kauai.pdf
289,United States,County,Los Angeles County,Ban,EPS,Restaurant,link,http://library.amlegal.com/nxt/gateway.dll?f=templates&fn=default.htm&vid=amlegal:la_all_mc
290,United States,County,Marin County,Ban,EPS,Restaurant,link,https://www.marincounty.org/~/media/files/departments/cd/ehs/food/laws-and-ordinances/ordinance3531compostablepackaging.pdf
291,United States,County,Marshall County,Ban,Bag,Retail,-,http://www.baglaws.com/assets/pdf/iowa_marshall.pdf
292,United States,County,Maui County,Ban,Bag,Retail,link,http://www.baglaws.com/assets/pdf/hawaii_maui.pdf
293,United States,County,Mendocino County,Ban,EPS,Restaurant,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/559ab4dee4b0d2540b734bec/1436202206940/MendocinoCounty+EPS+Ordinance.PDF
294,United States,County,Monterey County,Ban,All Polystyrene,Restaurant,link,https://library.municode.com/ca/monterey_county/codes/code_of_ordinances?nodeId=TIT10HESA_CH10.42REUSPOFOFOPAFOPR
295,United States,County,Monterey County,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5581f25fe4b0e4c2b152c95c/1434579551293/MontereyCounty.pdf
296,United States,County,Montgomery County,Ban,Bag,Retail,link,http://www.baglaws.com/assets/pdf/maryland_montgomery_county.pdf
297,United States,County,Orange County,Ban,EPS,Government,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
298,United States,County,San Juan County,Ban,Bag,Retail,link,http://www.baglaws.com/assets/pdf/washington-san-juan.pdf
299,United States,County,San Mateo County,Ban,All Polystyrene,Restaurant,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/559ab62fe4b069786e96ae18/1436202543406/San+Mateo+County+EPS+Ordinance.pdf
300,United States,County,San Mateo County,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5581f956e4b0ab81730fd0c7/1434581334210/SanMateoCounty.pdf
301,United States,County,Santa Clara County,Ban,EPS,"Restaurant, Retail",link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/559ab6b1e4b01a6af596176c/1436202673463/Santa+Clara+EPS+Ordinance.pdf
302,United States,County,Santa Cruz County,Ban,EPS,Restaurant,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/559ab6ede4b0c805c28afdce/1436202733617/santa+cruz+city++EPS+Ordinance.pdf
303,United States,County,Sonoma County,Ban,EPS,"Restaurant, Retail",link,https://library.municode.com/ca/sonoma_county/codes/code_of_ordinances
304,United States,County,Suffolk County,Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/57d1b495e58c62f0666a049a/1473361045980/suffolk+county.pdf
305,United States,County,Thurston County,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/55ad629be4b0ef0d23b68a83/1437426331405/ThurstonCnty_bagord.pdf
306,United States,County,Ulster County,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
307,United States,County,Ventura County,Ban,EPS,Restaurant,link,http://vcportal.ventura.org/GSA/parksdepartment/docs/ORDINANCE_NO_4446.pdf
308,United States,Local,Abington,Ban,EPS,Restaurant,link,http://nebula.wsimg.com/028cfce1b435ed84ce1b6ba39af7a714?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
309,United States,Local,Acton,Ban,Bag,"Retail, Restaurant",link,http://nebula.wsimg.com/8a51520c6c1c40fcbe107afc7aa501da?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
310,United States,Local,Adams,Ban,Bag,Retail,link,http://nebula.wsimg.com/fe7087dd841d58c9d290a3911cd1b297?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
311,United States,Local,Alameda,Ban,All Polystyrene,Restaurant,link,http://www.planetalameda.com/images/pdf/StyrofoamOrdinance.pdf
312,United States,Local,Alameda,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5581e9ffe4b0dd959fcb725a/1434577407119/alameda.pdf
313,United States,Local,Alameda,Upon Request,Straw,Restaurant,link,https://library.municode.com/ca/alameda/codes/code_of_ordinances?nodeId=CHIVOFPUSA_ARTILIMAPR_4-4DIFOSEWA
314,United States,Local,Albany,Ban,EPS,Government,link,http://www.albanyca.org/departments/sustainability/solid-waste-recycling/environmental-policy
315,United States,Local,Albany,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/55d6315be4b041c74fd09091/1440100699519/AC+Final+Ordinance.pdf
316,United States,Local,Albuquerque,Ban+Fee,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
317,United States,Local,Aliso Viejo,Ban,EPS,"Restaurant, Retail",link,http://www.codepublishing.com/CA/AlisoViejo/ords/Ord%202004-060.pdf
318,United States,Local,American Canyon,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/55d6315be4b041c74fd09091/1440100699519/AC+Final+Ordinance.pdf
319,United States,Local,Amesbury,Ban,Bag,"Retail, Restaurant",link,http://nebula.wsimg.com/0777b5969e7872dca96be4fcba1f1be8?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
320,United States,Local,Amherst,Ban,Bag,"Retail, Restaurant",link,http://nebula.wsimg.com/096e9f793f23d0981d5035575e8c2863?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
321,United States,Local,Amherst,Ban,EPS,Restaurant,link,https://www.amherstma.gov/DocumentCenter/View/24818/Amherst-Foam-bylaw?bidId=
322,United States,Local,Andover,Ban,All Polystyrene,Restaurant,link,http://nebula.wsimg.com/38faa27d1cb48ebda014d06d9e358815?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
323,United States,Local,Andover,Ban,Bag,"Retail, Restaurant",link,http://nebula.wsimg.com/38faa27d1cb48ebda014d06d9e358815?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
324,United States,Local,Andover,ban,EPS,Restaurant,link,http://nebula.wsimg.com/38faa27d1cb48ebda014d06d9e358815?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
325,United States,Local,Aquinnah,Ban,Bag,"Retail, Restaurant",link,http://nebula.wsimg.com/bbb388c86ef437dc64e388db3faccfa2?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
326,United States,Local,Arcadia Lakes,Ban,Bag,Retail,link,http://www.baglaws.com/assets/pdf/southcarolina_arcadia_lakes.pdf
327,United States,Local,Arcata,Ban,EPS,"Restaurant, Retail",link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/559aab25e4b0eb5f83891bd0/1436199717895/Arcata+EPS+Ordinance.pdf
328,United States,Local,Arcata,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5580a93fe4b028eba19feaa9/1434495295387/Arcata_AdoptedBagOrd12-4-13%281%29.pdf
329,United States,Local,Arlington,Ban,Bag,"Retail, Restaurant",link,http://nebula.wsimg.com/06ea168dabd413584fed1134ed02aa47?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
330,United States,Local,Arlington,ban,EPS,"Restaurant, Retail",link,http://nebula.wsimg.com/c78e8edff7810a223bd8ece9af0cd314?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
331,United States,Local,Arroyo Grande,Ban,EPS,Restaurant,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/56bcca6227d4bd4fca2b2251/1455213156011/02-09-16_09c+Adopt+Ordinance_Expanded+Polystyrene.pdf
332,United States,Local,Arroyo Grande,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5581f72ce4b05b2c1b5d4926/1434580780237/San+Luis+Obispo+County.pdf
333,United States,Local,Ashland,Ban,Bag,"Retail, Restaurant",link,http://nebula.wsimg.com/f5c8eab4cd84b6f4df838b87d1ad3288?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
334,United States,Local,Ashland,Ban+Fee,Bag,Retail,link,http://www.ashland.or.us/Files/3094_.pdf
335,United States,Local,Aspen,Ban+Fee,Bag,Retail,link,http://www.campaignforrecycling.org/sites/default/files/aspen_bagord.pdf
336,United States,Local,Atascadero,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5581f72ce4b05b2c1b5d4926/1434580780237/San+Luis+Obispo+County.pdf
337,United States,Local,Athol,Ban,Bag,Retail,link,http://www.baglaws.com/assets/pdf/massachusetts_athol.pdf
338,United States,Local,Attleboro,Ban,Bag,"Retail, Restaurant",link,http://nebula.wsimg.com/1e0136a83ddb1f4b0c0833f5bf63f8d5?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
339,United States,Local,Austin,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
340,United States,Local,Avalon,Ban,Bag,Retail,link,https://avalonboro.net/wp-content/uploads/2018/08/ORD-779-2018-Prohibiting-use-of-certain-plastic-products.pdf
341,United States,Local,Avalon,Ban,EPS,Restaurant,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/59515ad23a0411b89d3fed0e/1498503890958/Avalon_Polystyrene_Ordinance-ADOPTED_06202017.pdf
342,United States,Local,Avon,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5a6a4d18e4966b60ee5f0121/1516915993567/Avon_Colorado_plastic+bag+ban.pdf
343,United States,Local,Bainbridge Island,Ban+Fee,Bag,Retail,link,http://www.campaignforrecycling.org/sites/default/files/BainbridgeWA_bagord.pdf
344,United States,Local,Bal Harbour,Ban,All Polystyrene,Restaurant,link,https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/339545/re_plastics.pdf
345,United States,Local,Bar Harbor,Ban,Bag,Retail,link,http://wdea.am/bar-harbor-passes-ban-on-single-use-plastic-bags-and-polystyrene-foam-containers/
346,United States,Local,Barnstable,Ban,Bag,"Retail, Restaurant",link,http://nebula.wsimg.com/5380cf5668c6b54e8d86927b4fb8e6a9?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
347,United States,Local,Barrington,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
348,United States,Local,Basalt*,Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5a6a4d8b71c10b736924604d/1516916117687/Basalt_Colorado_plastic+bag+ban.pdf
349,United States,Local,Bath,Ban+Fee,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
350,United States,Local,Bay Harbor Islands,Ban,EPS,Restaurant,link,https://library.municode.com/fl/bay_harbor_islands/codes/code_of_ordinances?nodeId=PTIICOOR_CH9SOWACO_ARTIICO_S9-27PREXPOPR
351,United States,Local,Beach Haven,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
352,United States,Local,Beaufort City,Ban,Bag,Retail,link,http://www.baglaws.com/assets/pdf/southcarolina_beaufortcounty.pdf
353,United States,Local,Becket,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
354,United States,Local,Becket,ban,Bag,Retail,link,http://www.baglaws.com/assets/pdf/massachusetts_becket.pdf
355,United States,Local,Bedford,Ban,Bag,"Retail, Restaurant",link,http://nebula.wsimg.com/83f16d3af148a9dc9391fb0a8a0423c6?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
356,United States,Local,Bedford,Ban+Fee,Bag,Retail,link,http://www.baglaws.com/assets/pdf/newyork-bedford.pdf
357,United States,Local,Belfast,Ban,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5a6a6a528165f5f9f910cd93/1516923474462/maine_belfast.pdf
358,United States,Local,Bellingham,Ban+Fee,Bag,Retail,link,https://library.municode.com/wa/seattle/ordinances/municipal_code?nodeId=520374
359,United States,Local,Belmar,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
360,United States,Local,Belmont,Ban,Bag,"Retail, Restaurant",link,http://nebula.wsimg.com/e898ec5247c831e50106c9d8918765cf?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
361,United States,Local,Belmont,Ban,EPS,Restaurant,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/559aab45e4b0eb5f83891ca7/1436199749789/Belmont+EPS+Ordinance.pdf
362,United States,Local,Belmont,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5581f72ce4b05b2c1b5d4926/1434580780237/San+Luis+Obispo+County.pdf
363,United States,Local,Belvedere,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/57c09d121b631b17509e7f0a/1472240914383/Belvedere+Bag+Ordinance.pdf
364,United States,Local,Bend City,Ban+Fee,Bag,Retail,link,http://www.baglaws.com/assets/pdf/oregon_bendcity.pdf
365,United States,Local,Berkelely,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/55d6315be4b041c74fd09091/1440100699519/AC+Final+Ordinance.pdf
366,United States,Local,Berkeley,Ban,EPS,Restaurant,link,http://www.codepublishing.com/CA/Berkeley/
367,United States,Local,Berlin,ban,Bag,Retail,,
368,United States,Local,Bethel,Ban,Bag,Retail,link,http://www.cityofbethel.org/vertical/sites/%7B86032ACB-92B0-4505-919A-3F45B84FECD9%7D/uploads/%7B5A33E462-9077-4FC4-97A8-8774C902CB68%7D.PDF
369,United States,Local,Beverly,Ban,Bag,"Retail, Restaurant",link,http://nebula.wsimg.com/afe9d9923bf77c3a69fe59434dbe44e6?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
370,United States,Local,Bexley,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
371,United States,Local,Billerica,ban,Bag,Retail,,
372,United States,Local,Bisbee*,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/559427e5e4b0ec24733ce755/1435772901854/Bisbee.pdf
373,United States,Local,Blue Hill,Ban,Bag,Retail,link,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
374,United States,Local,Bluffton,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
375,United States,Local,Boston,Ban+Fee,Bag,"Retail, Restaurant",link,http://nebula.wsimg.com/97768148f9ebf0c96ee0ddd2b163d799?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
376,United States,Local,Boulder,Ban+Fee,Bag,Retail,link,http://www.campaignforrecycling.org/sites/default/files/Boulder_bag_ord_111512.pdf
377,United States,Local,Bourne,Ban,Bag,"Retail, Restaurant",link,https://www.townofbourne.com/sites/bournema/files/pages/finalbourne_bag_ban_bylawapproved.pdf
378,United States,Local,Bradley Beach,Ban,Bag,Retail,link,http://www.baglaws.com/assets/pdf/newjersey_bradelybeach.pdf
379,United States,Local,Brattleboro,Ban,Bag,Retail,-,https://www.brattleboro.org/vertical/Sites/%7BFABA8FB3-EBD9-4E2C-91F9-C74DE6CECDFD%7D/uploads/Chapter_7_REVISED_01-18.pdf
380,United States,Local,Breckenridge,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5a6a4f3924a69474ff3f43fb/1516916538156/Breckenridge_Colorado_plastic+bag+ban.pdf
381,United States,Local,Bremerton,Ban,Bag,Retail,link,http://lfpublic.ci.bremerton.wa.us/weblinkpublic/0/doc/505734/Page1.aspx
382,United States,Local,Brewster,ban,Bag,Retail,,
383,United States,Local,Bridgewater,Ban,Bag,Retail,link,http://www.baglaws.com/assets/pdf/massachusetts_bridgewater.pdf
384,United States,Local,Brigantine,Ban,Bag,Retail,link,http://www.baglaws.com/assets/pdf/newjersey_brigantinebeach.pdf
385,United States,Local,Brisbane,Ban,EPS,Restaurant,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5a3c58cbf9619a9745d486ba/1513904333145/Agenda+Report_11.6.2014.pdf
386,United States,Local,Brisbane,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5581ea46e4b0a6d2b0f30492/1434577478176/Brisbane.pdf
387,United States,Local,Bristol,Ban,Bag,Retail,link,http://www.baglaws.com/assets/pdf/rhodeisland_bristol.pdf
388,United States,Local,Brookline,Ban,Bag,"Retail, Restaurant",link,http://nebula.wsimg.com/91c8cf793407113fee85a4c717aad9f6?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
389,United States,Local,Brookline,Ban,EPS,Restaurant,link,http://nebula.wsimg.com/91c8cf793407113fee85a4c717aad9f6?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
390,United States,Local,Brownsville,Fee,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
391,United States,Local,Brunswick,Ban,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5a6a6abbe4966b11f9c2f736/1516923579675/maine-brunswick.pdf
392,United States,Local,Brunswick,Ban,EPS,Restaurant,link,http://www.brunswickme.org/wp-content/uploads/2016/02/Draft-Polystyrene-Foam-Ban-011216.pdf
393,United States,Local,Buckland,ban,Bag,Retail,,
394,United States,Local,Buckland,ban,EPS,Restaurant,link,http://nebula.wsimg.com/0acbdb094623d600f38c270bc68f637f?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
395,United States,Local,Burlingame,Ban,EPS,Restaurant,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/559aab73e4b0eb5f83891ddc/1436199795683/Burlingame+EPS+Ordinance.pdf
396,United States,Local,Burlingame,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5581ea60e4b0a6d2b0f3053b/1434577504360/Burlingame.pdf
397,United States,Local,Burlington,Ban,Bag,"Retail, Restaurant",link,http://nebula.wsimg.com/75f0b5b277faafafeb6f61c238637d89?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
398,United States,Local,Calabasas,Ban,EPS,Restaurant,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/559ab33de4b069786e969a8d/1436201789567/Calabasas+EPS+Ordinance.pdf
399,United States,Local,Calabasas,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5581ea6ce4b0a6d2b0f30583/1434577516742/Calabasas.pdf
400,United States,Local,Calistoga,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5581ea7ae4b0a6d2b0f305f2/1434577530362/Calistoga.pdf
401,United States,Local,Cambridge,Ban,EPS,Restaurant,link,https://www.cambridgema.gov/~/media/Files/publicworksdepartment/recyclingandrubbish/polystyreneordinance2016/Polystyrene-Ordinance.pdf?la=en
402,United States,Local,Cambridge,ban/fee hybrid,Bag,Retail,link,http://nebula.wsimg.com/f8ca2f757816314713278700d3ede9a0?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
403,United States,Local,Cambridge,Ban+Fee,Bag,"Retail, Restaurant",link,http://nebula.wsimg.com/f8ca2f757816314713278700d3ede9a0?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
404,United States,Local,Camden,Ban,Bag,Retail,link,http://www.baglaws.com/assets/pdf/maine_camden.pdf
405,United States,Local,Campbell,Ban,EPS,"Restaurant, Retail",link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/559ab34be4b069786e969afb/1436201803187/Campbell+EPS+Ordinance.pdf
406,United States,Local,Campbell,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5581ea88e4b0a6d2b0f3063e/1434577544238/Campbell.pdf
407,United States,Local,Canton,Ban,Bag,"Retail, Restaurant",link,http://nebula.wsimg.com/e15de2949c757fbe761218acc08ac282?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
408,United States,Local,Cape Elizabeth,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
409,United States,Local,Capitola,Ban,All Polystyrene,Restaurant,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/559ab361e4b069786e969b80/1436201825671/Capitola+EPS+Ordinance.pdf
410,United States,Local,Capitola,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5581ea96e4b0a6d2b0f30687/1434577558362/Capitola.pdf
411,United States,Local,Carbondale,Ban+Fee,Bag,Retail,link,http://www.campaignforrecycling.org/sites/default/files/Carbondale_Bag_Ordinance.pdf
412,United States,Local,Carmel,Ban,All Polystyrene,"Restaurant, Retail",link,http://www.codepublishing.com/CA/CarmelbytheSea/html/Carmel08/Carmel0868.html#8.68
413,United States,Local,Carmel,Ban,Straw,Restaurant,link,https://ci.carmel.ca.us/post/city-food-packaging-requirements
414,United States,Local,Carmel-by-the-Sea,Ban,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5581eaa9e4b0b5e91b1fc01e/1434577577632/Carmel+by+the+sea.pdf
415,United States,Local,Carpenteria,Ban,EPS,Restaurant,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5887c2d0e4fcb5cf28a9ce28/1485292241753/2008+Polystyrene+Ordinance+No.+634.pdf
416,United States,Local,Carpinteria,Ban,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5581eab8e4b0b5e91b1fc088/1434577592248/carpinteria.pdf
417,United States,Local,Cathedral City,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/55b26c34e4b088d4c911287a/1437756468612/Cathedral+City+Plastic+Bag+Ord.pdf
418,United States,Local,Charleston,Ban,Bag,Retail,link,http://www.baglaws.com/assets/pdf/southcarolina_charleston.pdf
419,United States,Local,Chatham,Ban,Bag,"Retail, Restaurant",link,http://nebula.wsimg.com/417336b151c553d2de28d3d82ae24ee4?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
420,United States,Local,Chelmsford,Ban,EPS,Restaurant,link,http://nebula.wsimg.com/8b3f9a9efe05e5f2792ae7e2e6e374f2?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
421,United States,Local,Chicago,Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5a6a5706f9619af2c3c0ad59/1516918534806/Chicago_Illinoi_plastic+bag+ban.pdf
422,United States,Local,Chico,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5581eacae4b0b5e91b1fc0f7/1434577610217/Chico.pdf
423,United States,Local,Chilmark,Ban,Bag,"Retail, Restaurant",link,http://nebula.wsimg.com/bbb388c86ef437dc64e388db3faccfa2?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
424,United States,Local,Cloverdale,Ban+Fee,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
425,United States,Local,Cohasset,Ban,Bag,"Retail, Restaurant",link,http://nebula.wsimg.com/7f7b3c74d6865d1de27b12b9b4121be3?AccessKeyId=1C31A3B4B1A73412F089&disposition=0&alloworigin=1
426,United States,Local,Colma,Ban,EPS,Restaurant,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/591606831b10e39f7a4a2f90/1494615683526/01_Colma_Polystyrene_Ordinance_03132013.pdf
427,United States,Local,Colma,Ban+Fee,Bag,Retail,link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5581ead9e4b0b5e91b1fc165/1434577625234/Colma.pdf
428,United States,Local,Concord,Ban,All Polystyrene,"Restaurant, Retail",link,https://static1.squarespace.com/static/54d3a62be4b068e9347ca880/t/5b774728758d46c0922bd439/1534543659621/Concord_Polystyrene_Ban-Ordinance_No_18-5_CLEAN_08142018.pdf
